"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
253,"2018-07-21 18:08:28 GMT+0800","59341520168","CALL","6323.33","6326.08","6326.08",0.71,"0.00","-0.71"
254,"2018-07-21 18:08:42 GMT+0800","59341534228","CALL","6326.65","6323.98","6323.98","0.80","0.00","-0.80"
255,"2018-07-21 18:08:56 GMT+0800","59341546728","CALL","6326.89","6327.36","6327.36","0.90","0.00","-0.90"
256,"2018-07-21 18:09:11 GMT+0800","59341562448","CALL","6327.29","6324.74","6324.74",1.01,"0.00","-1.01"
257,"2018-07-21 18:09:24 GMT+0800","59341575128","CALL","6328.86","6330.91","6330.91",1.14,"0.00","-1.14"
258,"2018-07-21 18:09:38 GMT+0800","59341589048","CALL","6331.83","6336.35","6336.35",1.28,7.19,"5.91"
259,"2018-07-21 18:09:52 GMT+0800","59341603828","CALL","6338.21","6335.88","6335.88",0.35,"0.00","-0.35"
260,"2018-07-21 18:10:06 GMT+0800","59341619828","CALL","6337.55","6340.21","6340.21",0.39,"0.00","-0.39"
261,"2018-07-21 18:10:21 GMT+0800","59341635568","CALL","6342.39","6336.82","6335.18",0.44,"0.00","-0.44"
262,"2018-07-21 18:10:37 GMT+0800","59341652268","CALL","6335.03","6343.55","6343.55","0.50",2.81,"2.31"
263,"2018-07-21 18:10:51 GMT+0800","59341666788","CALL","6344.22","6345.66","6345.66",0.35,"0.00","-0.35"
264,"2018-07-21 18:11:06 GMT+0800","59341683868","CALL","6349.83","6348.76","6348.76",0.39,"0.00","-0.39"
265,"2018-07-21 18:11:20 GMT+0800","59341698768","CALL","6347.71","6344.11","6344.11",0.44,"0.00","-0.44"
266,"2018-07-21 18:11:34 GMT+0800","59341712888","CALL","6340.65","6336.26","6336.26","0.50","0.00","-0.50"
267,"2018-07-21 18:14:04 GMT+0800","59341858788","CALL","6338.76","6342.29","6342.29",0.56,3.14,"2.58"
268,"2018-07-21 18:14:18 GMT+0800","59341874368","CALL","6336.90","6335.63","6335.63",0.35,"0.00","-0.35"
269,"2018-07-21 18:14:33 GMT+0800","59341888208","CALL","6335.42","6330.72","6330.72",0.39,"0.00","-0.39"
270,"2018-07-21 18:15:10 GMT+0800","59341925088","CALL","6334.71","6339.25","6339.25",0.44,2.47,"2.03"
271,"2018-07-21 18:15:25 GMT+0800","59341940688","CALL","6338.14","6342.36","6342.36",0.35,1.96,"1.61"
272,"2018-07-21 18:15:38 GMT+0800","59341954128","CALL","6344.46","6341.75","6342.37",0.35,"0.00","-0.35"
273,"2018-07-21 18:15:55 GMT+0800","59341970608","CALL","6340.06","6339.97","6339.97",0.39,"0.00","-0.39"
274,"2018-07-21 18:16:10 GMT+0800","59341985068","CALL","6337.60","6330.82","6330.82",0.44,"0.00","-0.44"
275,"2018-07-21 18:17:44 GMT+0800","59342082088","CALL","6330.95","6327.22","6327.22","0.50","0.00","-0.50"
276,"2018-07-21 18:18:06 GMT+0800","59342104148","CALL","6330.78","6334.83","6334.83",0.56,3.14,"2.58"
277,"2018-07-21 18:18:21 GMT+0800","59342118668","CALL","6329.76","6328.12","6328.12",0.35,"0.00","-0.35"
278,"2018-07-21 18:20:42 GMT+0800","59342257968","CALL","6319.06","6320.17","6320.45",0.39,"0.00","-0.39"
279,"2018-07-21 18:20:59 GMT+0800","59342273908","CALL","6318.91","6320.95","6320.95",0.44,"0.00","-0.44"
280,"2018-07-21 18:21:12 GMT+0800","59342287228","CALL","6321.36","6324.57","6324.57","0.50","0.00","-0.50"
281,"2018-07-21 18:21:26 GMT+0800","59342302308","CALL","6330.65","6337.92","6337.92",0.56,3.15,"2.59"
282,"2018-07-21 18:21:41 GMT+0800","59342318868","CALL","6342.49","6337.10","6335.16",0.35,"0.00","-0.35"
283,"2018-07-21 18:21:57 GMT+0800","59342335148","CALL","6335.85","6336.54","6336.54",0.39,"0.00","-0.39"
284,"2018-07-21 18:22:10 GMT+0800","59342348888","CALL","6335.86","6338.74","6338.74",0.44,"0.00","-0.44"
285,"2018-07-21 18:22:25 GMT+0800","59342364168","CALL","6338.79","6339.11","6339.11","0.50","0.00","-0.50"
286,"2018-07-21 18:22:38 GMT+0800","59342377008","CALL","6342.69","6344.46","6344.46",0.56,"0.00","-0.56"
287,"2018-07-21 18:22:53 GMT+0800","59342391928","CALL","6342.69","6346.13","6346.13",0.63,"0.00","-0.63"
288,"2018-07-21 18:23:06 GMT+0800","59342406008","CALL","6345.28","6344.81","6344.81",0.71,"0.00","-0.71"
289,"2018-07-21 18:23:21 GMT+0800","59342420348","CALL","6345.48","6347.27","6347.27","0.80","0.00","-0.80"
290,"2018-07-21 18:23:35 GMT+0800","59342434768","CALL","6345.35","6348.96","6348.96","0.90",5.04,"4.14"
291,"2018-07-21 18:23:48 GMT+0800","59342448088","CALL","6347.22","6343.81","6343.81",0.35,"0.00","-0.35"
292,"2018-07-21 18:24:02 GMT+0800","59342462888","CALL","6341.57","6343.51","6343.51",0.39,"0.00","-0.39"
293,"2018-07-21 18:24:42 GMT+0800","59342501688","CALL","6347.12","6350.25","6350.25",0.44,"0.00","-0.44"
294,"2018-07-21 18:24:57 GMT+0800","59342516248","CALL","6356.64","6351.25","6351.25","0.50","0.00","-0.50"
295,"2018-07-21 18:25:11 GMT+0800","59342532328","CALL","6355.41","6355.85","6355.85",0.56,"0.00","-0.56"
296,"2018-07-21 18:25:24 GMT+0800","59342546108","CALL","6353.82","6350.89","6350.89",0.63,"0.00","-0.63"
297,"2018-07-21 18:25:39 GMT+0800","59342560328","CALL","6352.29","6352.70","6352.70",0.71,"0.00","-0.71"
298,"2018-07-21 18:25:53 GMT+0800","59342573448","CALL","6351.43","6355.91","6354.83","0.80",4.47,"3.67"
299,"2018-07-21 18:26:09 GMT+0800","59342590168","CALL","6355.55","6361.94","6363.69",0.35,1.96,"1.61"
300,"2018-07-21 18:26:24 GMT+0800","59342607448","CALL","6362.84","6365.06","6365.06",0.35,"0.00","-0.35"
301,"2018-07-21 18:26:38 GMT+0800","59342622468","CALL","6365.91","6361.21","6361.21",0.39,"0.00","-0.39"
302,"2018-07-21 18:26:53 GMT+0800","59342637928","CALL","6358.48","6364.43","6364.43",0.44,2.45,"2.01"
303,"2018-07-21 18:27:06 GMT+0800","59342653208","CALL","6362.43","6358.01","6358.01",0.35,"0.00","-0.35"
304,"2018-07-21 18:27:20 GMT+0800","59342667408","CALL","6359.73","6367.02","6367.02",0.39,2.18,"1.79"
305,"2018-07-21 18:27:35 GMT+0800","59342683488","CALL","6372.24","6378.91","6378.91",0.35,1.95,"1.60"
306,"2018-07-21 18:27:48 GMT+0800","59342699288","CALL","6378.31","6381.37","6381.37",0.35,"0.00","-0.35"
307,"2018-07-21 18:28:03 GMT+0800","59342716368","CALL","6377.37","6372.33","6372.33",0.39,"0.00","-0.39"
308,"2018-07-21 18:28:16 GMT+0800","59342730908","CALL","6370.28","6367.08","6367.08",0.44,"0.00","-0.44"
309,"2018-07-21 18:28:42 GMT+0800","59342757968","CALL","6371.73","6379.24","6379.24","0.50",2.78,"2.28"
310,"2018-07-21 18:28:56 GMT+0800","59342772388","CALL","6377.93","6376.39","6376.39",0.35,"0.00","-0.35"
311,"2018-07-21 18:29:10 GMT+0800","59342787288","CALL","6372.77","6372.07","6372.84",0.39,"0.00","-0.39"
312,"2018-07-21 18:29:27 GMT+0800","59342805108","CALL","6372.62","6374.41","6374.41",0.44,"0.00","-0.44"
313,"2018-07-21 18:29:41 GMT+0800","59342818948","CALL","6376.20","6376.66","6376.66","0.50","0.00","-0.50"
314,"2018-07-21 18:29:55 GMT+0800","59342833288","CALL","6373.85","6375.24","6375.24",0.56,"0.00","-0.56"
315,"2018-07-21 18:30:08 GMT+0800","59342848908","CALL","6372.25","6376.11","6376.11",0.63,"3.50","2.87"
316,"2018-07-21 18:30:23 GMT+0800","59342864888","CALL","6373.92","6377.70","6377.70",0.35,1.95,"1.60"
