"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
113,"2018-07-21 12:47:22 GMT+0800","59321270888","CALL","6271.63","6274.76","6273.43",0.35,0.66,"0.31"
114,"2018-07-21 12:48:46 GMT+0800","59321357348","CALL","6268.66","6265.74","6263.57",0.35,"0.00","-0.35"
115,"2018-07-21 12:49:24 GMT+0800","59321396128","CALL","6255.73","6256.55","6257.31",0.74,1.44,"0.70"
116,"2018-07-21 12:49:52 GMT+0800","59321423008","CALL","6257.00","6257.09","6254.92",0.35,0.66,"0.31"
117,"2018-07-21 12:50:34 GMT+0800","59321465788","CALL","6255.69","6257.51","6257.68",0.35,0.66,"0.31"
118,"2018-07-21 12:51:12 GMT+0800","59321506768","CALL","6258.81","6259.53","6256.97",0.35,0.66,"0.31"
119,"2018-07-21 12:51:50 GMT+0800","59321544688","PUT","6250.43","6252.41","6249.31",0.35,"0.00","-0.35"
120,"2018-07-21 12:52:44 GMT+0800","59321602888","PUT","6243.05","6244.29","6244.22",0.74,"0.00","-0.74"
121,"2018-07-21 12:53:48 GMT+0800","59321668648","CALL","6246.40","6244.19","6243.46",1.58,"0.00","-1.58"
122,"2018-07-21 12:54:20 GMT+0800","59321703388","CALL","6248.48","6253.13","6252.51",3.36,6.53,"3.17"
123,"2018-07-21 12:54:54 GMT+0800","59321737988","CALL","6252.77","6251.72","6252.47",0.35,"0.00","-0.35"
124,"2018-07-21 12:55:40 GMT+0800","59321786448","CALL","6252.56","6251.95","6252.42",0.74,"0.00","-0.74"
